name,link_startupeu,link_logo,link_website,website_up,city,region,category,top_3_keywords,business_model,linkedin_global_profile,linkedin_handle,linkedin_valid,instagram_handle,instagram_valid,x_handle,x_valid,founded_year,age,total_funding_listing,headline_count,headlines,headline_financial_count,headline_funding,headline_acquisition_count,headline_bankruptcy_count,headline_non_financial_count,description_writing_score,description_market_readiness_score,description_founder_signal_score,description_word_count,description_jargon_density,description_numeric_evidence_count,status
heyqq – ask away,https://www.eu-startups.com/directory/heyqq-ask-away/,https://www.eu-startups.com/wp-content/uploads/2022/06/heyqq_fb-header-150x87.png,heyqq.app,True,Vienna,Vienna,Other,"['experts', 'conversation', 'knowledge']",B2C,False,,False,,False,,False,2022,3,No funding announced yet,0,[],0,0,0,0,0,7,5,4,36,0.0,0,no_funding
HEYRISE,https://www.eu-startups.com/directory/heyrise/,https://www.eu-startups.com/wp-content/uploads/2023/06/HEYRISE-150x150.jpg,heyrise.com,True,Wels,Upper Austria,Professional Services,"['fitness', 'health', 'prevention']",B2B,False,heyrise,True,heyrisecom,True,,False,2022,3,No funding announced yet,0,[],0,0,0,0,0,6,4,5,56,0.25,0,no_funding
HeldYn,https://www.eu-startups.com/directory/heldyn/,https://www.eu-startups.com/wp-content/uploads/2023/06/HeldYn-150x150.jpg,heldyn.com,True,Vienna,Vienna,Health,"['care', 'therapy', 'healthcare']",B2C,False,heldyn,True,heldyn_com,True,,False,2022,3,No funding announced yet,10,"['HeldYn: Pflege-Startup mit Sebastian Kurz an Bord holt sechsstelliges Investment', '2 Minuten 2 Millionen : Über das Start-up HeldYn, digitalisierte Pflege und den Investor Sebastian Kurz', 'Wien – Kurz steigt bei Start-up ein – so funktioniert ""HeldYn""', 'Wiener Unternehmen: ""HeldYn"" möchte den Pflegebereich revolutionieren - Innere Stadt', 'Sebastian Kurz steigt bei Pflege-Start-Up ""HeldYn"" ein', 'HeldYn: Startup mit Sebastian Kurz an Bord bei „2 Minuten 2 Millionen“', 'Döbling: Im 19. Bezirk wird professionelle Pflege von HeldYn vermittelt - Döbling', 'HeldYn: Wiener Pflege-Startup mit Sebastian Kurz an Bord auf Expansionskurs', 'HeldYn: Vermittlungsplattform für Pflege und Therapie in Hietzing aktiv - Hietzing', 'Sebastian Kurz investiert in Wiener Startup von zwei Gründerinnen']",8,600000,0,0,0,7,5,8,104,0.25,1,funding
GATE Space,https://www.eu-startups.com/directory/gate-space/,https://www.eu-startups.com/wp-content/uploads/2023/06/GATE-Space-150x150.jpg,gate.space,True,Vienna,Vienna,Mobility,"['chemical propulsion', 'space mobility', 'satellites']",B2B,False,gatespace,True,gate.space,True,gatespacesys,True,2022,3,Between €1 million-€ 2.5 million,3,"['Gate Space: Wiener Spin-off entwickelt Antriebs- und Bremssystem für Mars-Mission', 'Gate Space: Moritz Novak treibt Österreichs Raumfahrtinnovation voran', 'Gate Space und R-Space: Zwei Space-Techs-Startups siedeln sich am Flughafen Wien an']",3,0,0,0,0,8,6,7,66,0.25,0,probably_funding
Flinn Comply,https://www.eu-startups.com/directory/flinn-comply/,https://www.eu-startups.com/wp-content/uploads/2023/06/Flinn-Comply-150x150.jpg,flinncomply.com,True,Vienna,Vienna,Health,"['medical device', 'compliance', 'efficiency']",B2B,False,,False,,False,,False,2022,3,Between €1 million-€ 2.5 million,5,"['Flinn: Wiener RegTech-Startup holt weitere 6 Mio. Euro an Bord', 'Flinn.ai: 10 Mio. für innovativere Medizinprodukte - mit Co-Founder Bastian Krapinger-Rüther', 'Flinn Comply: Startup ehemaliger N26-Mitarbeiter holt 1,8 Mio. Euro Pre-Seed', 'Hasib Samad, MBA – Co-Founder - Tech – Flinn Comply', 'Flinn Comply']",3,11780000,0,0,2,8,6,7,81,0.25,1,funding
NXRT,https://www.eu-startups.com/directory/nxrt/,https://www.eu-startups.com/wp-content/uploads/2022/06/NXRT-150x150.jpg,nxrt.io,True,Wien,Vienna,Software & Analytics,"['virtual reality', 'mixed reality', 'simulation']",B2B,False,nxrt,True,nxrt.io,True,nxrt_io,True,2022,3,Between €2.5 million-5 million,7,"['NXRT: Wiener Mixed-Reality-Startup holt 4,5 Mio. Euro Investment', 'Evelyn Winkler neue Head of Marketing von NXRT', 'NXRT holt Branchengröße: Holger Müller wird neuer Geschäftsführer', 'Wie Lukas Stranger und sein C-Level-Team das NXRT-Wachstum vorantreiben', 'ENFORCE TAC 24: Fahren üben mit NXRT', 'Scoop: VR-Startup NXRT wird 2025 Technologie fürs Militär anbieten', 'NXRT: Anschauen, was nicht da ist, und Probefahrt im Stand']",3,4500000,0,0,4,7,6,7,118,0.25,0,funding
ReDev,https://www.eu-startups.com/directory/redev/,https://www.eu-startups.com/wp-content/uploads/2022/06/ReDev-150x150.jpg,,False,Vienna,Vienna,Software & Analytics,"['remote', 'developers', 'hire']",B2B,False,redev-austria,True,redevaustria,True,redevtechnology,True,2022,3,Between €100K-€500K,2,"['ReDev: Wiener HR-Plattform sammelt sechsstellige Summe ein', '8 neue Startups: flipsight, Carbon Atlantis, etalytics, udana, Engity, Treether, ReDev, nextx']",1,100000,0,0,1,7,5,6,56,0.25,0,inactive
Revitalyze,https://www.eu-startups.com/directory/revitalyze/,https://www.eu-startups.com/wp-content/uploads/2023/07/1683796806983-150x150.jpeg,revitalyze.io,True,Innsbruck,Tyrol,ClimateTech/GreenTech/CleanTech,"['greentech', 'circular construction', 'reuse']",platform,False,revitalyze-io,True,revitalyze.io,True,,False,2022,3,No funding announced yet,8,"['Revitalyze unter den Siegern des Construction Startup Competition 2024', 'revitalyze gewinnt Start-up-Wettbewerb', 'revitalyze: Tiroler Startup entwickelt Plattform für kreislauffähiges Bauen', 'revitalyze: Tiroler Startup will kreislauffähiges Bauen zum Mainstream machen', 'Preseed-Förderung für revitalyze', 'Nachhaltigkeit - Österreichisches Start-up gewinnt Josef Umdasch Forschungspreis 2023', 'revitalyze erhält Pre-Seed-Finanzierung', 'David Plaseller & sein Start-up revitalyze: Das Bauschutt-Uber']",6,0,0,0,2,8,6,7,24,0.25,0,no_funding
Coachfident,https://www.eu-startups.com/directory/coachfident/,https://www.eu-startups.com/wp-content/uploads/2022/05/Vertical-Layout-Full-Color-Version-150x150.png,coachfident.com,True,Vienna,Vienna,Professional Services,"['coaching', 'development', 'career']",B2C,False,coachfident,True,coachfident,True,,False,2022,3,No funding announced yet,2,"['Coachfident: Wiener Startup bietet Orientierungshilfe bei der Coachingsuche', 'Coachfident: Wiener Startup bietet Orientierungshilfe bei der Coachingsuche']",0,0,0,0,2,7,5,6,83,0.1,0,no_funding
Goddard – Discovery,https://www.eu-startups.com/directory/goddard-discovery/,https://www.eu-startups.com/wp-content/uploads/2022/05/Goddard-Discovery-150x150.jpg,goddard-discovery.ml,True,Hagenberg,Upper Austria,Software & Analytics,"['research', 'information', 'Artificial Intelligence']",platform,False,,False,goddarddiscovery,True,,False,2022,3,No funding announced yet,0,[],0,0,0,0,0,6,5,6,157,0.25,0,no_funding
Datogy,https://www.eu-startups.com/directory/datogy-gmbh/,https://www.eu-startups.com/wp-content/uploads/2022/03/1629620171940-150x150.jpg,,False,Wien,Vienna,Software & Analytics,"['digital marketing', 'SEO', 'custom site']",B2B,False,datogy,True,datogygmbh,True,,False,2022,3,No funding announced yet,0,[],0,0,0,0,0,7,7,6,108,0.25,0,inactive
prop.ID,https://www.eu-startups.com/directory/prop-id-simply-real-estate/,https://www.eu-startups.com/wp-content/uploads/2023/03/1666607095904-150x150.jpeg,prop.id,True,Vienna,Vienna,PropTech,"['digitalizes', 'housing', 'meetings']",B2B,False,propid,True,,False,,False,2022,3,No funding announced yet,4,"['prop.ID', 'prop.ID GmbH', 'hybride ETVs und Eigentümerbeschlüsse mit vBeschluss von prop.ID', 'prop.ID aus Wien | Marktplatz / Plattform | Immobilien']",0,0,0,0,4,6,5,4,22,0.18,0,no_funding
fynk,https://www.eu-startups.com/directory/fynk/,https://www.eu-startups.com/wp-content/uploads/2023/02/fynk-logo-150x59.png,fynk.com,True,Vienna,Vienna,Software & Analytics,"['contract', 'management', 'automate']",B2B,False,fynkcom,True,fynk_com,True,fynk_com,True,2022,3,No funding announced yet,6,"['fynk: 3,1 Millionen Euro Seed-Investment für LegalTech-Startup', 'fynk: Seriengründer starten Vertragsmanagement-Software und geben Preseed-Runde bekannt', 'fynk: 1,25 Mio. für neues Startup von Prescreen-Gründern u.a. von Hansmann', 'fynk: Das neue Startup der Prescreen-Gründer – feat CEO Constantin Wintoniak', 'fynk: Neues Startup der Prescreen-Gründer holt 1,25 Mio. Euro u.a. bei Hansi Hansmann', '7 neue Startups: fynk, Brifle, topshelf, Steets, amicon, SHK Power, 8inks']",5,4500000,0,0,1,8,6,5,75,0.2,0,funding
SHOMUGO,https://www.eu-startups.com/directory/shomugo-gmbh/,https://www.eu-startups.com/wp-content/uploads/2023/02/shomugo-logo-150x150.jpg,shomugo.at,True,Graz,Styria,e-commerce,"['e-commerce', 'marketplace', 'online store']",B2B2C,False,shomugo,True,official.shomugo,True,,False,2022,3,No funding announced yet,0,[],0,0,0,0,0,7,5,4,218,0.25,0,no_funding
Crew26,https://www.eu-startups.com/directory/crew26/,https://www.eu-startups.com/wp-content/uploads/2023/02/1658166081683-150x150.jpeg,crew26.com,True,Linz,Upper Austria,Other,"['digital agency', 'projects', 'customer satisfaction']",B2B,False,,False,crewtwentysix,True,,False,2022,3,No funding announced yet,0,[],0,0,0,0,0,7,5,6,174,0.2,0,no_funding
reebuild,https://www.eu-startups.com/directory/reebuild/,https://www.eu-startups.com/wp-content/uploads/2023/01/asd-26-150x53.png,reebuild.com,True,Vienna,Vienna,ConstructionTech/Green Building,"['building materials', 'procurement', 'construction']",platform,False,ree-build,True,reebuildqld,True,,False,2022,3,No funding announced yet,6,"['reebuild: Hansi Hansmann, PSPDFKit-Gründer und weitere Investoren steigen bei Wiener Startup ein', 'reebuild: Gründer von Planradar und Storebox steigen in Pre-Seed-Startup ein', 'Startup World Cup 2023: reebuild ist Österreich-Sieger', '6 neue Startups: reebuild, Eqoh, Nala, Optiml, Pinpoint, cleverlohn', 'reebuild: Was KI-Software und Leberkas-Semmeln miteinander zu tun haben', 'reebuild: Gründer von PlanRadar & Storebox und Laura Egg investieren in Wiener Startup']",5,0,0,0,1,7,6,5,42,0.14,0,no_funding
Proofcheck,https://www.eu-startups.com/directory/proofcheck/,https://www.eu-startups.com/wp-content/uploads/2023/01/asd-27-150x150.jpg,proofcheck.io,True,Vienna,Vienna,Software & Analytics,"['AI proofreading', 'collaborative workspace', 'content creators']",B2B,False,proofcheck,True,proofcheck_app,True,proofcheck_app,True,2022,3,Between €100K-€500K,5,"['Proofcheck: Halbe Mio. Euro Investment für Wiener AI-Startup u.a. von Musk-Co-Founder', '8 neue Startups: Urban Monkeys, WeVee, one4good, Candoora, Proofcheck, Vispa, Mandano, Roamy', 'Vienna-based Proofcheck snaps €500k pre-seed to fuel corporate editorial departments with tailored LLM', 'Proofcheck: Elon Musks xAI-Mitgründer Kyle Kosic steigt bei Wiener AI-Startup ein', 'News - AI proofreading app Proofcheck readies for publisher rollout after funding']",5,500000,0,0,0,7,6,5,85,0.2,1,funding
Pluz Care,https://www.eu-startups.com/directory/pluz-care/,https://www.eu-startups.com/wp-content/uploads/2023/01/aaa-31-150x150.jpg,,False,Vienna,Vienna,Software & Analytics,"['medication', 'pharmacies', 'delivery']",B2C,False,pluz-care,True,pluz.care,True,,False,2022,3,Between €500K-€ 1 million,4,"['Start-up Pluz Care liefert Medikamente auf E-Bikes aus', 'Pluz Care: Medikamenten-Zustellung in Wien innerhalb von 60 Minuten', 'Teledoc: Nach Pluz Care-Übernahme Kooperation mit Wr. Städtischer und Donau', 'Wiener Startup muss Konkurs anmelden, nachdem Investor nicht zahlt']",3,0,1,1,1,6,6,5,25,0.12,0,bankrupt
Simplexx,https://www.eu-startups.com/directory/simplexx-web-solutions/,https://www.eu-startups.com/wp-content/uploads/2023/01/simplexx-150x150.png,simplexx.at,True,Vienna,Vienna,Software & Analytics,"['online marketing', 'web projects', 'SEO']",B2B,True,simplexx-gmbh,True,simplexx_gmbh,True,,False,2022,3,No funding announced yet,1,['Simplexx - Erfolgreich im SEO und Online-Marketing'],1,0,0,0,0,7,6,5,92,0.25,0,no_funding
Neolime,https://www.eu-startups.com/directory/neolime/,https://www.eu-startups.com/wp-content/uploads/2022/12/1667335113673-31-150x150.jpg,neolime.io,True,Vienna,Vienna,Health,"['platform', 'sexual', 'creators']",platform,False,neolime,True,neolime,True,,False,2022,3,No funding announced yet,0,[],0,0,0,0,0,7,5,5,45,0.2,0,no_funding
Lightning Company,https://www.eu-startups.com/directory/lightning-company/,https://www.eu-startups.com/wp-content/uploads/2022/12/aaa-143-150x150.jpg,lightningcompany.com,True,Vienna,Vienna,FinTech/InsurTech,"['Bitcoin', 'payments', 'lightning network']",B2B,False,,False,lightningve_,True,eden_lightning,True,2022,3,Between €100K-€500K,2,"['Hungary’s Lightning Company Tungsram Announces Mass Layoffs', 'Former Meta Lead Launches Bitcoin Lightning Company, Lightspark']",1,0,0,0,1,7,6,5,85,0.2,1,unclear
TUSECA,https://www.eu-startups.com/directory/tuseca/,https://www.eu-startups.com/wp-content/uploads/2022/12/TUSECA-150x150.jpg,tuseca.com,True,vienna,Vienna,PropTech,"['premium', 'co-ownership', 'holiday properties']",B2C,False,tuseca,True,,False,,False,2022,3,No funding announced yet,0,[],0,0,0,0,0,7,5,5,34,0.176,0,no_funding
Heylog,https://www.eu-startups.com/directory/heylog/,https://www.eu-startups.com/wp-content/uploads/2022/12/ASD-46-150x150.jpg,heylog.com,True,Vienna,Vienna,Mobility,"['logistics', 'dispatchers', 'communication']",B2B,False,heylog,True,,False,heylog,True,2022,3,Between €2.5 million-5 million,3,"['Heylog: Wiener Messaging-Startup holt bei Gründung 3 Mio. Euro Investment', 'Heylog will die Logistik-Kommunikation neu definieren', 'WhatsApp datenschutzkonform nutzen: Mit Heylog Infos austauschen']",1,3000000,0,0,2,7,6,4,42,0.14,0,funding
Streamfire,https://www.eu-startups.com/directory/streamfire/,https://www.eu-startups.com/wp-content/uploads/2021/12/SFLOGONEWWEB-150x34.png,streamfire.com,True,Vienna,Vienna,Software & Analytics,"['TV network', 'user-generated content', 'creators']",B2C,False,,False,,False,streamfireapp,True,2021,4,Between €1-€100K,1,"['Streamfire Prepares to Launch Free, User-Generated TV-Network']",1,0,0,0,0,7,5,6,116,0.15,0,unclear
Surfvacationer,https://www.eu-startups.com/directory/surfvacationer/,https://www.eu-startups.com/wp-content/uploads/2021/12/Surfvacationer-150x150.png,surfvacationer.com,True,Vienna,Vienna,Professional Services,"['surf', 'holidays', 'camps']",B2C,False,,False,surfvacationer,True,,False,2021,4,Between €1-€100K,0,[],0,0,0,0,0,7,5,4,56,0.25,0,unclear
Texterify,https://www.eu-startups.com/directory/texterify/,https://www.eu-startups.com/wp-content/uploads/2021/12/Texterify-150x150.png,texterify.com,True,Vienna,Vienna,Software & Analytics,"['localization', 'translation', 'management']",B2B,False,,False,,False,,False,2021,4,Between €1-€100K,0,[],0,0,0,0,0,7,5,4,45,0.2,0,unclear
yourStyle,https://www.eu-startups.com/directory/yourstyle/,https://www.eu-startups.com/wp-content/uploads/2021/12/yourStyle-150x150.png,yourstyle.app,True,Vienna,Vienna,Software & Analytics,"['fashion', 'style', 'community']",B2C,False,,False,yourstyle.utrecht,True,yourstyleoutlet,True,2021,4,Between €100K-€500K,1,"['YourStyle: Wiener Startup nutzt KI, um Outfits auf Social Media zu tracken']",1,0,0,0,0,7,5,4,42,0.14,0,unclear
kutschi.consulting,https://www.eu-startups.com/directory/kutschi-consulting/,https://www.eu-startups.com/wp-content/uploads/2021/09/kutschi.consulting-150x150.png,kutschi.consulting,True,Voitsberg,Styria,Professional Services,"['consulting', 'digitalization', 'transformation']",B2B,False,kutschi-consulting,True,,False,,False,2021,4,No funding announced yet,1,['Profil | kutschi.consulting | Thomas Kutschi'],0,0,0,0,1,7,6,6,30,0.4,0,no_funding
NOUMEN,https://www.eu-startups.com/directory/noumen/,https://www.eu-startups.com/wp-content/uploads/2021/09/noumen-logo--150x150.jpeg,noumen.co,True,Vienna,Vienna,Other,"['wellness', 'men', 'self-care']",B2C,False,noumen,True,noumen.co,True,noumen_co,True,2021,4,No funding announced yet,1,['Noumen: Linzer Start-up sagt klassischem Männerbild den Kampf an - Linz'],0,0,0,0,1,7,5,6,104,0.25,0,no_funding
Quork,https://www.eu-startups.com/directory/quork/,https://www.eu-startups.com/wp-content/uploads/2021/07/Screenshot-2021-07-23-at-11.31.07-150x49.png,,False,Kritzendorf,Lower Austria,FinTech/InsurTech,"['marketplace', 'service providers', 'business']",marketplace,False,,False,quork,True,,False,2021,4,No funding announced yet,0,[],0,0,0,0,0,8,6,5,66,0.15,0,inactive
HELLO INSIDE,https://www.eu-startups.com/directory/hello-inside/,https://www.eu-startups.com/wp-content/uploads/2021/07/1624878593912-150x150.jpeg,helloinside.com,True,Vienna,Vienna,Software & Analytics,"['self care', 'data-driven', 'personalized']",B2C,False,helloinside,True,helloinsideofficial,True,,False,2021,4,No funding announced yet,5,"['FemTech-Startup Hello Inside holt sich 1,65-Millionen-Euro-Investment', 'Hello Inside holt 1,65 Mio. Euro – und ist zum FemTech mutiert', 'Retraced & Hello Inside: Investments & Exits - mit Johanna Junkermann und Anna Bosch', 'become.1 sammelt 3,3 Millionen ein - Hello Inside erhält 1,65 Millionen - Wunder Mobility kauft goUrban', 'Gründer-Geheimnis Hello Inside: Die eigene Gesundheit in die Hand nehmen']",4,1650000,1,0,1,8,5,6,50,0.2,0,funding
Justmarkt,https://www.eu-startups.com/directory/justmarkt/,https://www.eu-startups.com/wp-content/uploads/2021/07/Group_16-150x44.png,justmarkt.at,True,Vienna,Vienna,Mobility,"['delivery', 'service', 'app']",B2C,False,justmarkt-at,True,justmarkt.at,True,,False,2021,4,No funding announced yet,0,[],0,0,0,0,0,6,6,5,34,0.176,0,no_funding
GlobalRisk,https://www.eu-startups.com/directory/globalrisk/,https://www.eu-startups.com/wp-content/uploads/2021/07/Screenshot-2021-07-22-at-14.28.42-150x129.png,globalrisk.ai,True,Vienna,Vienna,Software & Analytics,"['cybersecurity', 'artificial intelligence', 'risk expertise']",B2B,False,,False,globalrisk,True,,False,2021,4,No funding announced yet,0,[],0,0,0,0,0,7,5,6,66,0.25,0,no_funding
exo one,https://www.eu-startups.com/directory/exo-one/,https://www.eu-startups.com/wp-content/uploads/2021/07/Screenshot-2021-07-22-at-13.16.09-150x78.png,,False,Vienna,Vienna,Professional Services,"['community', 'technology', 'future']",other,False,,False,exoone_jdbio,True,,False,2021,4,No funding announced yet,4,"['Exo One kommt diesen Sommer für PS4 und PS5', 'Hooked FM #352 – Splinter Cell-Remake, Lost Judgment, Exo One, Monster Rancher & mehr!', 'Das Sci-Fi-Abenteuer Exo One erscheint im Sommer für PS4 und PS5', '(S+) Indie-Game »Exo One«: Unendliche Weiten, ganz kompakt']",4,0,0,0,0,7,4,5,45,0.33,0,inactive
Celeris Therapeutics,https://www.eu-startups.com/directory/celeris-therapeutics/,https://www.eu-startups.com/wp-content/uploads/2021/07/xedrjlu0x1paqqr2ll5u-150x150.png,,False,Graz,Styria,Health,"['deep learning', 'degrader technologies', 'biomolecular interactions']",B2B,False,,False,,False,celeristx,True,2021,4,Between €1 million-€ 2.5 million,2,"['Celeris Therapeutics: Grazer Biotech-Startup schließt 4,4 Millionen Dollar Seed-Finanzierungsrunde ab', 'Grazer Biotech-Startup Celeris erhält 400.000 Euro Pre-Seed-Investment']",2,4400000,0,0,0,7,5,6,50,0.4,0,inactive
etti.co,https://www.eu-startups.com/directory/etti-co/,https://www.eu-startups.com/wp-content/uploads/2021/07/119121867_1014832102300798_1902200255725358247_n-150x150.jpeg,etti.co,True,Vienna,Vienna,Software & Analytics,"['no-code', 'AI solutions', 'business growth']",platform,False,ettico,True,etti.co,True,,False,2021,4,No funding announced yet,0,[],0,0,0,0,0,8,6,5,40,0.2,0,no_funding
21bitcoin,https://www.eu-startups.com/directory/21bitcoin/,https://www.eu-startups.com/wp-content/uploads/2022/07/bitcoin-logo-150x73.png,21bitcoin.app,True,Salzburg,Salzburg,FinTech/InsurTech,"['Bitcoin', 'financial', 'users']",B2C,False,21bitcoin,True,21bitcoin.app,True,21bitcoinapp,True,2021,4,Between €100K-€500K,5,"['Salzburger Bitcoin-Plattform 21bitcoin wächst rasant und peilt 500 Millionen Euro Handelsvolumen an', '21bitcoin: Salzburger Startup erreicht Handelsvolumen von 165 Mio. Euro - Verdreifachung geplant', '21bitcoin: ""Immer mehr wollen Bitcoin-Vermögen als Sicherheit für Kredite einsetzen""', '21bitcoin: Salzburger Startup sponsert künftig FC Red Bull', '21bitcoin: “Bitcoin könnte 2025 die 150.000-US-Dollar-Marke knacken“']",5,0,0,0,0,8,6,5,104,0.25,0,probably_funding
zone14,https://www.eu-startups.com/directory/zone14/,https://www.eu-startups.com/wp-content/uploads/2023/06/zone14-150x150.jpg,zone14.ai,True,Vienna,Vienna,Media & Entertainment,"['AI', 'football', 'statistics']",B2B,False,zone14,True,zone14.ai,True,zone14_ai,True,2021,4,No funding announced yet,6,"['zone14: Wiener Videoanalyse-Startup erhält int. Auszeichnung und „pitcht“ vor Andrés Iniesta', 'zone14: Wiener Videoanalyse-Startup erhält int. Auszeichnung – Andrés Iniesta in Jury', 'zone14 setzt Zeichen für Frauen im Fußball', 'Zone14: Wiener Startup bietet Fußballklubs KI-gestützte Videoanalyse', 'Sportpitch: Fußball-Analyse leicht gemacht mit Zone14', 'zone14: Wiener KI-Fußball-Startup gewinnt SK Rapid als Kunden']",6,0,0,0,0,7,6,6,56,0.25,0,no_funding
Xperience,https://www.eu-startups.com/directory/xperience/,https://www.eu-startups.com/wp-content/uploads/2023/06/Xperience-150x174.jpg,xperience.social,True,Vienna,Vienna,Media & Entertainment,"['friends', 'activities', 'platform']",B2C,False,xperience-app,True,xperience.app,True,xperiencegroup,True,2021,4,No funding announced yet,4,"['Xperience: Sechsstelliges Investment für Wiener Startup', 'Klosterneuburger Wurzeln - Tinder für Freundschaften: Neues Investment für Startup „Xperience“', 'Xperience: Wiener Startup erhält für „Tinder für Friends“ sechsstelliges Investment', 'Weihnachtliche Spendenaktion des Leeheimer Jugendtheaterclubs Xperience Room für die Ukraine']",3,600000,0,0,1,7,5,5,100,0.1,0,funding
Windpuls,https://www.eu-startups.com/directory/windpuls/,https://www.eu-startups.com/wp-content/uploads/2023/06/Windpuls-150x150.jpg,windpuls.com,True,Linz,Upper Austria,Hardware,"['wind measurement', 'sensors', 'IT solutions']",B2B,False,windpuls,True,windpuls,True,,False,2021,4,No funding announced yet,0,[],0,0,0,0,0,7,5,6,56,0.25,0,no_funding
Vloor,https://www.eu-startups.com/directory/vloor/,https://www.eu-startups.com/wp-content/uploads/2023/06/Vloor-150x150.jpg,vloor.com,True,Vienna,Vienna,PropTech,"['real estate', 'software', 'deep learning']",B2B,False,vloor,True,vloor.st,True,vloor,True,2021,4,No funding announced yet,0,[],0,0,0,0,0,7,5,6,42,0.2857142857142857,0,no_funding
VIRIDAD,https://www.eu-startups.com/directory/viridad/,https://www.eu-startups.com/wp-content/uploads/2023/06/VIRIDAD-150x150.jpg,viridad.eu,True,Vienna,Vienna,Software & Analytics,"['transparency', 'sustainable', 'assessment']",platform,False,viridad,True,,False,viridad,True,2021,4,No funding announced yet,1,['Mill Millionen-Investment für Wiener Nachhaltigkeits-Plattform'],1,1000000,0,0,0,7,6,5,56,0.25,0,funding
Vinitor,https://www.eu-startups.com/directory/vinitor/,https://www.eu-startups.com/wp-content/uploads/2023/06/Vinitor-150x150.jpg,,False,Linz,Upper Austria,Software & Analytics,"['digital', 'vineyard', 'management']",B2B,False,vinitorapp,True,vinitor.app,True,,False,2021,4,No funding announced yet,0,[],0,0,0,0,0,7,5,5,42,0.2857142857142857,0,inactive
trive studio,https://www.eu-startups.com/directory/trive-studio/,https://www.eu-startups.com/wp-content/uploads/2023/06/trive-studio-150x150.jpg,trive.studio,True,Vienna,Vienna,Software & Analytics,"['startup', 'studio', 'solutions']",B2B,False,trive-studio,True,trive.studio,True,,False,2021,4,Between €5 million-€10 million,7,"['Trive Studio wird liquidiert', 'trive studio: Wiener Startup-Studio startet mit 7 Millionen Euro', 'trive studio: Wiener Startup-Studio startet mit 7 Mio. Euro u.a. von Hansi Hansmann', 'trive studio: Erstes ""Vollblut-Startup-Studio"" Österreichs startet', 'Wiener Startup muss Konkurs anmelden, nachdem Investor nicht zahlt', 'trive-Gründer Martin Sirlinger: Das sind die Pläne des Wiener Startup-Studios', 'Wenige Tage vor 2Min2Mio-Ausstrahlung: Wiener Startup von Wiener Startup übernommen']",5,7000000,1,2,1,7,6,5,56,0.25,0,funding
Testiny,https://www.eu-startups.com/directory/testiny/,https://www.eu-startups.com/wp-content/uploads/2023/06/Testiny-150x150.jpg,testiny.io,True,Graz,Styria,Software & Analytics,"['test management', 'software', 'modern']",B2B,False,testiny,True,testiny.official,True,,False,2021,4,No funding announced yet,0,[],0,0,0,0,0,7,5,6,25,0.2,0,no_funding
MedCom,https://www.eu-startups.com/directory/medcom/,https://www.eu-startups.com/wp-content/uploads/2021/06/ffk2hwlznqptvriq5ueh-150x150.jpg,medcom.at,True,Vienna,Vienna,Software & Analytics,"['laboratory', 'requests', 'software']",B2B,False,,False,medcom.berlin,True,medcomgmbh,True,2021,4,No funding announced yet,0,[],0,0,0,0,0,7,7,5,83,0.2,0,no_funding
Sneakit,https://www.eu-startups.com/directory/sneakit/,https://www.eu-startups.com/wp-content/uploads/2023/06/Sneakit-150x150.jpg,sneakit.com,True,Vienna,Vienna,Software & Analytics,"['sneakers', 'authentic', 'limited']",B2C,False,,False,sneakit,True,sellonsneakit,True,2021,4,No funding announced yet,0,[],0,0,0,0,0,6,6,4,20,0.1,1,no_funding
Sendance,https://www.eu-startups.com/wpbdp_listing/sendance/,https://www.eu-startups.com/wp-content/uploads/2023/12/sendance_gmbh_logo-150x150.jpeg,sendance.at,True,Linz,Upper Austria,Hardware,"['soft sensor technology', 'smart wearables', 'manufacturers']",B2B,False,sendance-gmbh,True,,False,,False,2021,4,Between €1 million-€ 2.5 million,1,['Sendance: Linzer DeepTech-Startup erhält sechsstelliges Investment'],1,100000,0,0,0,8,7,8,108,0.25,1,funding
Schrankerl,https://www.eu-startups.com/directory/schrankerl/,https://www.eu-startups.com/wp-content/uploads/2023/06/Schrankerl-150x150.jpg,schrankerl.at,True,Vienna,Vienna,AgTech/FoodTech,"['catering', 'food delivery', 'office']",B2B,False,schrankerl,True,schrankerl.at,True,,False,2021,4,Between €1 million-€ 2.5 million,7,"['Schrankerl: Wiener Startup sichert sich Fortbestand mit 1,5 Mio. Euro aws-Double-Equity-Kredit', 'Schrankerl schlägt eigenes Ziel für 2024, erhöht Umsatz auf 3 Mio. Euro', 'Food-Startup Schrankerl erhält 500.000 Euro in neuer Finanzierungsrunde', 'Schrankerl: 1,5 Mio. Kredit sichert Fortbestand nach ""Breakdown"" des CEO', '#glaubandich CHALLENGE: Schrankerl siegt bei Food & Beverages, Cosmetics & Bodycare', 'Food-Startup Schrankerl erhält 500.000 Euro in neuer Finanzierungsrunde', 'Schrankerl: Wiener Startup für nachhaltige Büroverpflegung sichert sich Millionen-Investment']",5,2500000,0,1,0,6,6,5,34,0.0,1,funding
Roi4Presenter,https://www.eu-startups.com/directory/roi4presenter/,https://www.eu-startups.com/wp-content/uploads/2023/06/Roi4Presenter-150x150.jpg,roi4presenter.com,True,Vienna,Vienna,Professional Services,"['outreach', 'lead generation', 'sales presentations']",B2B,False,,False,,False,,False,2021,4,No funding announced yet,0,[],0,0,0,0,0,7,7,5,92,0.2,1,no_funding
