name,link,category,based_in,tags,founded,business_name,logo_link,long_business_description,business_description,total_funding,website,company_status,social_links
heyqq – ask away,https://www.eu-startups.com/directory/heyqq-ask-away/,Austria,Vienna,"audio, social, app",2022.0,heyqq – ask away,https://www.eu-startups.com/wp-content/uploads/2022/06/heyqq_fb-header-150x87.png,,heyqq is a place where you can talk to experts in a private real time conversation about every question you could possibly think of and share your own knowledge with like-minded people all over the world.,No funding announced yet,https://www.heyqq.app,,()
HEYRISE,https://www.eu-startups.com/directory/heyrise/,Austria,Wels,"Personal Health, Human Services, Wellness",2022.0,HEYRISE,https://www.eu-startups.com/wp-content/uploads/2023/06/HEYRISE-150x150.jpg,,"Our goal is to empower people with better fitness, lifestyle & health outcomes. Absenteeism, lost productivity & attrition costs are rising because of a focus on treatment, rather than prevention. The impact on companies & employees is magnified through impersonal & inconsistent guidance and a lack of behavioural change.",No funding announced yet,http://www.heyrise.com,Active,"('https://www.linkedin.com/company/heyrise/',)"
HeldYn,https://www.eu-startups.com/directory/heldyn/,Austria,Vienna,"Nursing, Therapy, Experiences, Physiotherapy",2022.0,HeldYn,https://www.eu-startups.com/wp-content/uploads/2023/06/HeldYn-150x150.jpg,,"HeldYn is your platform for quick booking of high-quality care and therapy services in your home. With more than 20 years of professional experience in the healthcare sector, we have felt directly how the quality of service for patients and the working conditions for healthcare workers are steadily deteriorating. It was clear to us: Something has to change, not only for nurses and therapists, but also for all those people who need care. Now and in the future.",No funding announced yet,https://www.heldyn.com/,Active,"('https://www.linkedin.com/company/heldyn',)"
GATE Space,https://www.eu-startups.com/directory/gate-space/,Austria,Vienna,"Aviation, Aerospace, Tech",2022.0,GATE Space,https://www.eu-startups.com/wp-content/uploads/2023/06/GATE-Space-150x150.jpg,,"GATE Space is a developer of technology that creates scalable and adaptable chemical propulsion systems to enable the next generation of space mobility. The company's technology enables satellites to travel the last mile to their final position and maintain constant mobility after separating from the rideshare launcher, giving businesses new options for manipulating satellites in space.",Between €1 million-€ 2.5 million,https://gate.space,Active,"('https://www.linkedin.com/company/gatespace/',)"
Flinn Comply,https://www.eu-startups.com/directory/flinn-comply/,Austria,Vienna,"Software Development, Medical Device, Medical Instruments",2022.0,Flinn Comply,https://www.eu-startups.com/wp-content/uploads/2023/06/Flinn-Comply-150x150.jpg,,"Flinn Comply allows medical device manufacturers to automate quality and regulatory processes, making compliance work ten times more efficient. We are driven to impact the health of millions of people around the globe by enabling medical companies to launch and operate products more efficiently. To make this vision come true, we established a customer-centric, experimentation-driven product development approach.",Between €1 million-€ 2.5 million,https://www.flinncomply.com,Active,"('https://www.linkedin.com/company/flinncomply',)"
NXRT,https://www.eu-startups.com/directory/nxrt/,Austria,Wien,"Artificial Intelligence, Automotive, Autonomous Vehicles, Education, Enterprise Software, Information Technology, Railroad, Software, Software Engineering",2022.0,NXRT,https://www.eu-startups.com/wp-content/uploads/2022/06/NXRT-150x150.jpg,,"NXRT is an Austrian based company in the field of virtual & mixed reality technologies. As a software provider for the efficient creation of virtual simulation environments, we prepare drivers and autonomous systems for future challenges. The company is based on three main technology pillows. I.) A software framework based on game engines to speed up the development process of virtual driving environments. II.) A Mixed Reality Technology (patented) to enhance realism and reduce simulation hardware costs and III.) A sensor technology to transfer real vehicles within minutes into a simulator making traditional simulators obsolete.",Between €2.5 million-5 million,http://www.nxrt.io,,()
ReDev,https://www.eu-startups.com/directory/redev/,Austria,Vienna,"Information Technology, Recruiting, SaaS, Software",2022.0,ReDev,https://www.eu-startups.com/wp-content/uploads/2022/06/ReDev-150x150.jpg,,ReDev is a unique solution for companies to hire highly skilled developers worldwide more easily than ever before. ReDev is a product of Parsition GmbH to connect the international network of remote developers with companies in DACH. ReDev is the smartest way to find and hire new remote developers.,Between €100K-€500K,https://redev.at/,,()
Revitalyze,https://www.eu-startups.com/directory/revitalyze/,Austria,Innsbruck,"Building Material, Green Building, Logistics, Marketplace, Recycling, Waste Management",2022.0,Revitalyze,https://www.eu-startups.com/wp-content/uploads/2023/07/1683796806983-150x150.jpeg,,revitalyze is an award-winning greentech platform that enables a circular construction industry through a unique approach to the reuse of building elements.,No funding announced yet,https://www.revitalyze.io/,Active,"('https://www.linkedin.com/company/revitalyze-io/',)"
Coachfident,https://www.eu-startups.com/directory/coachfident/,Austria,Vienna,"coaching, personal development, career coaching",2022.0,Coachfident,https://www.eu-startups.com/wp-content/uploads/2022/05/Vertical-Layout-Full-Color-Version-150x150.png,,"Coachfident helps people to unlock their full potential. Coachfident offers coaching programs for personal development and matches every client with the perfect coach. The flagship program is the Career Academy, a program in which clients develop an individual career strategy. This program is for young professionals who currently don't unfold their full potential.",No funding announced yet,www.coachfident.com,,()
Goddard – Discovery,https://www.eu-startups.com/directory/goddard-discovery/,Austria,Hagenberg,"Artificial Intelligence, Machine Learning, Application Development",2022.0,Goddard – Discovery,https://www.eu-startups.com/wp-content/uploads/2022/05/Goddard-Discovery-150x150.jpg,,"How many of you are from a research background or deal with the trouble of searching effectively with the right keywords without exactly knowing them in this age of information overload and manually going through each of the articles And even more how many have trouble finding information about something that we are not an expert of? Ask yourself, what would happen if you could have all the information of the world structured within a software platform that generates new ideas for you? Well, that is what we are bringing in for the researchers for discovering hidden interdisciplinary knowledge between different fields and helping them towards breakthrough scientific discoveries using Artificial Intelligence.",No funding announced yet,https://www.goddard-discovery.ml/,,()
Datogy,https://www.eu-startups.com/directory/datogy-gmbh/,Austria,Wien,"SEO, marketing, agency",2022.0,Datogy,https://www.eu-startups.com/wp-content/uploads/2022/03/1629620171940-150x150.jpg,,"Datogy IT consultant GmbH is a dynamic, resourceful, and full-service digital marketing firm that doesn’t depend on deliberate misdirection to draw in new customers. Alternatively, Datogy relies on its own search engine optimization (SEO) and marketing skills to drive new clients to our site. We’re not a static organization. We don’t restrict ourselves to explicit industries. Datogy has the experience and experts to fabricate a custom site and utilize numerous digital advertising services to help any size organization in any industry.",No funding announced yet,www.datogy.at,,()
prop.ID – simply real estate,https://www.eu-startups.com/directory/prop-id-simply-real-estate/,Austria,Vienna,"real estate, digitalisation, owner meetings, property management",2022.0,prop.ID – simply real estate,https://www.eu-startups.com/wp-content/uploads/2023/03/1666607095904-150x150.jpeg,,prop.ID digitalizes standard processes for housing companies: Less work and time expenditure through hybrid or digital home owners meetings. prop.ID - simply real estate!,No funding announced yet,https://www.prop.id/,,()
fynk,https://www.eu-startups.com/directory/fynk/,Austria,Vienna,"Contract Lifecycle Management, Contract Management",2022.0,fynk,https://www.eu-startups.com/wp-content/uploads/2023/02/fynk-logo-150x59.png,,"fynk.com lets you automate the entire contract lifecycle. It allows you to create, edit, review, approve, electronically sign, analyse and manage contracts from start to finish in a flexible, easy-to-use contract management. fynk gives you complete visibility, control and governance over all of your company's legal documents. From anywhere, at any time, in your browser.",No funding announced yet,www.fynk.com,,()
SHOMUGO GmbH,https://www.eu-startups.com/directory/shomugo-gmbh/,Austria,Graz,"e-commerce,online marketplace,onlineshop,gamechanger",2022.0,SHOMUGO GmbH,https://www.eu-startups.com/wp-content/uploads/2023/02/shomugo-logo-150x150.jpg,"SHOMUGO wants to make it as simple as possible for everyone who wants to sell online. With an own online store (brand store) within the country-specific marketplace, every dealer can design his e-commerce the way he wants. SHOMUGO also operates an own marketplace for each country (like shomugo.at or shomugo.de) and a marketplace for all of europe at www.shomugo.eu. The advantages: - own and managed online store - own product design (no attaching to products) - own pricing - own delivery options and conditions - extensive support during the creation of the online shop - secure payment providers via paypal and stripe - continuous development of all shop/marketplace features - bilingualism of all products by mouse click - managed server and application If you are interested in supporting us and building up your e-commerce with us, you are welcome. We want to be a real alternative to existing e-commerce solutions and accompany europe on a new e-commerce way.",A brand new marketplace with (brand) stores for anyone who wants to sell online.,No funding announced yet,https://www.shomugo.at,,()
Crew26,https://www.eu-startups.com/directory/crew26/,Austria,Linz,"young, modern, nice, professional",2022.0,Crew26,https://www.eu-startups.com/wp-content/uploads/2023/02/1658166081683-150x150.jpeg,"We are a digital agency that focuses on services and the digitization of companies. Our intention is to implement your projects innovatively and competently and to support you with all our technical possibilities, experience and resources. We efficiently implement the projects you specify, but also bring in our own suggestions and ideas to increase customer satisfaction. As a young team, we also offer you fast and direct communication in connection with agile project management and thus achieve the set goals. We are young, flexible and adaptive. Those who work with us will be successful. Crew26 full of ideas and innovations. This is noticeable not only with our customers, but also with yours.","Crew26 is a digitization company that focuses on web-based software solutions. We develop very versatile and platform-oriented web applications for our corporate customers in order to digitize and automate their internal processes. Examples of this are individual CRM systems for customer management or your own customer support platforms. As a result, our customers need fewer staff or can relieve them enormously, since many processes are handled automatically via our platforms. Even if the focus is increasingly on individual platforms, we also offer an all-round carefree package in the form of websites or online shops. In addition, they offer whole branding or social media marketing to appear well enough online.",No funding announced yet,https://crew26.com,,()
reebuild,https://www.eu-startups.com/directory/reebuild/,Austria,Vienna,"Construction, Bureaucracy, Suppliers",2022.0,reebuild,https://www.eu-startups.com/wp-content/uploads/2023/01/asd-26-150x53.png,,"The building materials platform We streamline tedious work processes associated with procurement and digitally link construction companies with their suppliers. This ends the inefficient use of data, from order to invoice, and manual data entry.",No funding announced yet,https://reebuild.com/,,()
Proofcheck,https://www.eu-startups.com/directory/proofcheck/,Austria,Vienna,"AI, PDFs, Multilingual Machine, Web app",2022.0,Proofcheck,https://www.eu-startups.com/wp-content/uploads/2023/01/asd-27-150x150.jpg,,"Proofcheck is a multilingual AI proofreading platform and a collaborative in-browser workspace for PDFs and epubs Their cutting-edge AI workflow and collaboration platform enables video producers to swiftly identify costly errors before audiences. Proofcheck was established in 2022 and has its headquarters in Vienna, Austria. For content creators, Proofcheck is a multilingual machine learning and natural language processing web application.",Between €100K-€500K,https://www.proofcheck.io/,,()
Pluz Care,https://www.eu-startups.com/directory/pluz-care/,Austria,Vienna,"Find products, Order and pay online, data protection",2022.0,Pluz Care,https://www.eu-startups.com/wp-content/uploads/2023/01/aaa-31-150x150.jpg,,60 minute medication. Local pharmacies are connected to their customers through Pluz through a digital platform and a fast delivery service.,Between €500K-€ 1 million,https://pluz.care/,,()
Simplexx,https://www.eu-startups.com/directory/simplexx-web-solutions/,Austria,Vienna,"online marketing, web design, SEO, Technical audits",2022.0,Simplexx,https://www.eu-startups.com/wp-content/uploads/2023/01/simplexx-150x150.png,,"Simplexx is an online marketing agency in based Vienna. It focuses on planning, conception and implementation of new web projects, technical analyzes and detailed audits of the current status of projects. Its main areas include web design, SEO, Technical audits, link building, Google Ads and Competitor Analysis. The strategies they choose are sustainable and aim for the long-term success of your company.",No funding announced yet,https://www.simplexx.at/,,()
Neolime,https://www.eu-startups.com/directory/neolime/,Austria,Vienna,"Sexual Passions, Creators, Holistic creator",2022.0,Neolime,https://www.eu-startups.com/wp-content/uploads/2022/12/1667335113673-31-150x150.jpg,,"Neolime, a firm with headquarters in Vienna, creates a platform for creators where users can explore and live out their particular sexual obsessions. The website makes it easy and convenient to get information on sexual desires and kinks.",No funding announced yet,https://www.neolime.io/,,()
Lightning Company,https://www.eu-startups.com/directory/lightning-company/,Austria,Vienna,"payments , Bitcoin , lightning network",2022.0,Lightning Company,https://www.eu-startups.com/wp-content/uploads/2022/12/aaa-143-150x150.jpg,,"With standard conversion rates and no additional costs, we want to make Bitcoin payments simple. Our goal is to enable Bitcoin as a substitute payment mechanism in the physical world. We make it feasible through the usage of the lightning network. The BMAW has awarded a grant to our initiative as part of the Preseed - Deep Tech programme.",Between €100K-€500K,https://lightningcompany.com/,,()
TUSECA,https://www.eu-startups.com/directory/tuseca/,Austria,vienna,"Real Estate, Shared ownership, Luxury real estate",2022.0,TUSECA,https://www.eu-startups.com/wp-content/uploads/2022/12/TUSECA-150x150.jpg,,"Tuseca seeks to introduce a new standard in purchasing and owning premium holiday properties.Their approach is cost-effective with trouble-free co-ownership in Central Europe. They are based in Vienna, Austria.",No funding announced yet,https://www.tuseca.com/,,()
Heylog,https://www.eu-startups.com/directory/heylog/,Austria,Vienna,"Drivers via, WhatsApp, Facebook, Messenger",2022.0,Heylog,https://www.eu-startups.com/wp-content/uploads/2022/12/ASD-46-150x150.jpg,,"Viber, Facebook Messenger, and WhatsApp are made logistics-ready by Heylog. We assist dispatchers in communicating with their drivers on their preferred channels. External drivers and vendors are reluctant to instal new applications.",Between €2.5 million-5 million,https://www.heylog.com/,,()
Streamfire,https://www.eu-startups.com/directory/streamfire/,Austria,Vienna,"Digital Entertainment, Internet, Media and Entertainment, TV, Video, Video Streaming",2021.0,Streamfire,https://www.eu-startups.com/wp-content/uploads/2021/12/SFLOGONEWWEB-150x34.png,,"Streamfire is a free TV network designed to match special interests with the most talented creators. Streamfire provides the first TV network for user-generated and creator content. Unlike traditional video platforms, Streamfire offers a seamless 24/7 live video experience. TV is by far the most popular device for watching online videos, yet, creators are hardly represented on the big screen. Therefore, Streamfire wants to offer a voice on TV to anybody that has a passion and the ability to produce great video.",Between €1-€100K,https://www.streamfire.com/,,()
Surfvacationer,https://www.eu-startups.com/directory/surfvacationer/,Austria,Vienna,"Booking, surf camps",2021.0,Surfvacationer,https://www.eu-startups.com/wp-content/uploads/2021/12/Surfvacationer-150x150.png,,"Booking platform for surf holidays and surf camps. Choose from the best surf spots in the world! You decide whether you prefer surfing, kitesurfing, windsurfing, stand up paddling or wing foiling! Spend an unforgettable time with friends or family in the most beautiful coastal areas and beaches.",Between €1-€100K,https://surfvacationer.com/,,()
Texterify,https://www.eu-startups.com/directory/texterify/,Austria,Vienna,"Collaboration, Developer APIs, Software, Translation Service",2021.0,Texterify,https://www.eu-startups.com/wp-content/uploads/2021/12/Texterify-150x150.png,,Texterify is a localization and translation management system to automate the translation process. Texterify offers you the possibility to manage your software translation efficiently and quickly. Everything you need merged in one app. It is just as easy as that.,Between €1-€100K,https://texterify.com,,()
yourStyle,https://www.eu-startups.com/directory/yourstyle/,Austria,Vienna,"Apps, Fashion, Retail, Software",2021.0,yourStyle,https://www.eu-startups.com/wp-content/uploads/2021/12/yourStyle-150x150.png,,AI fashion mobile and web app. Follow your friends and favorite influencers and discover your style. Shop your favorite pieces directly from any post. Share your outfits with the yourStyle community and make money from your posts.,Between €100K-€500K,https://yourstyle.app/,,()
kutschi.consulting,https://www.eu-startups.com/directory/kutschi-consulting/,Austria,Voitsberg,"Consulting, Information Technology",2021.0,kutschi.consulting,https://www.eu-startups.com/wp-content/uploads/2021/09/kutschi.consulting-150x150.png,,"kutschi.consulting is a consulting firm for IT transformation, digitalization, marketing and sales. They have industrial experience in Telecommunications, Energy and Utilities, Information Technology & Software and Media.",No funding announced yet,http://kutschi.consulting,,()
NOUMEN,https://www.eu-startups.com/directory/noumen/,Austria,Vienna,"Consumer, Consumer Goods, Personal Health, Wellness",2021.0,NOUMEN,https://www.eu-startups.com/wp-content/uploads/2021/09/noumen-logo--150x150.jpeg,,"NOUMEN is a stress-relieving self-care brand and platform that helps men achieve physical and emotional wellness. NOUMEN is on a journey to become the world's leading men's well-being destination. They work to remove the stigma surrounding men's mental and physical health. They are dedicated to providing natural products and simple but effective tools for men's health and mental performance. Changing skincare, braincare, and sleepcare behaviors for a better you while maintaining a clear balance between comfort and sustainable spending.",No funding announced yet,https://noumen.co,,()
Quork,https://www.eu-startups.com/directory/quork/,Austria,Kritzendorf,"Marketplace, Service Industry, Software",2021.0,Quork,https://www.eu-startups.com/wp-content/uploads/2021/07/Screenshot-2021-07-23-at-11.31.07-150x49.png,,"Quork is a marketplace where professional service providers can find, acquire and manage their customers.  With innovative features like an in-app messenger, a Kanban board to organize tasks and easy and well-designed statistics, Quork can offer its service provider an all-in-one solution for their daily business.",No funding announced yet,https://www.quork.at,,()
HELLO INSIDE,https://www.eu-startups.com/directory/hello-inside/,Austria,Vienna,"Biometrics, Health Care, Information Technology, Mobile Apps, Quantified Self, Wellness",2021.0,HELLO INSIDE,https://www.eu-startups.com/wp-content/uploads/2021/07/1624878593912-150x150.jpeg,,"HELLO INSIDE is a scientific self care company empowering people to have data-driven conversations with their bodies so they can unlock their best selves. The company's mission is to lead a new self care movement that’s data-driven, truly personalized, and rooted in science.",No funding announced yet,https://helloinside.com/,,()
Justmarkt,https://www.eu-startups.com/directory/justmarkt/,Austria,Vienna,"Delivery, Delivery Service, E-Commerce, Grocery, Logistics, Mobile Apps, Same Day Delivery, Software",2021.0,Justmarkt,https://www.eu-startups.com/wp-content/uploads/2021/07/Group_16-150x44.png,,Justmarkt is a delivery service. Justmarkt experience takes seconds to navigate the app and minutes for Justmarkt Driver-Partners to deliver the customers' needs and wants. Justmarkt strategically located micro-fulfillment centers.,No funding announced yet,https://justmarkt.at/,,()
GlobalRisk,https://www.eu-startups.com/directory/globalrisk/,Austria,Vienna,"Artificial Intelligence, Business Intelligence, Cyber Security, Information Technology, Risk Management",2021.0,GlobalRisk,https://www.eu-startups.com/wp-content/uploads/2021/07/Screenshot-2021-07-22-at-14.28.42-150x129.png,,"GlobalRisk aims to serve, to shape and to lead change in the most complex problems the world faces today. They believe cybersecurity and artificial intelligence need a new strategy, a new model and new leadership. Their risk expertise provides immediate insight and decision support for enabling a predictive vantage point, affording the advantage of business foresight.",No funding announced yet,https://www.globalrisk.ai/,,()
exo one,https://www.eu-startups.com/directory/exo-one/,Austria,Vienna,"Consulting, Information Technology, Community",2021.0,exo one,https://www.eu-startups.com/wp-content/uploads/2021/07/Screenshot-2021-07-22-at-13.16.09-150x78.png,,"EXO-ONE is a community, dedicated to create, design and shape a better future for our planet. They look at exponentially developing technology, emerging countries, promising startups, enhance personal traits and mindsets, and future scenarios of key industries.",No funding announced yet,https://www.exo-one.club/,,()
Celeris Therapeutics,https://www.eu-startups.com/directory/celeris-therapeutics/,Austria,Graz,"Biotechnology, Information Technology, Life Science, Pharmaceutical",2021.0,Celeris Therapeutics,https://www.eu-startups.com/wp-content/uploads/2021/07/xedrjlu0x1paqqr2ll5u-150x150.png,,"Celeris Therapeutics is a deep learning company that uses innovative, computer-based methods to degrade undruggable targets. The platform Celeris One exploits the potential of degrader technologies with accurate predictions of biomolecular interactions and the expansion of chemical space.",Between €1 million-€ 2.5 million,https://www.celeristx.com,,()
etti.co,https://www.eu-startups.com/directory/etti-co/,Austria,Vienna,"Artificial Intelligence, Information Technology, Machine Learning, Product Search, Software, Visual Search",2021.0,etti.co,https://www.eu-startups.com/wp-content/uploads/2021/07/119121867_1014832102300798_1902200255725358247_n-150x150.jpeg,,"ettico is a no-code platform that lets you create, import and integrate AI solutions that grow your business. ettico simplifies the adoption of AI solutions to improve revenue and performance faster than through traditional methods.",No funding announced yet,https://www.etti.co/,,()
21bitcoin,https://www.eu-startups.com/directory/21bitcoin/,Austria,Salzburg,"bitcoin, saving plan, investment, 21bitcoin, app",2021.0,21bitcoin,https://www.eu-startups.com/wp-content/uploads/2022/07/bitcoin-logo-150x73.png,,"21bitcoin's mission is to build a more fair and simple financial world. 21bitcoin allows users to save, earn, send and invest Bitcoin instantly and without friction. We believe that an open and transparent money allows everyone universal access to their financial needs, effectively levelling the financial rules. 21bitcoin leverages Bitcoin's open monetary network to provide users the first all-in-one bitcoin-native financial experience, allowing them to focus on what they love rather than their finances.",Between €100K-€500K,https://21bitcoin.app/,,()
zone14,https://www.eu-startups.com/directory/zone14/,Austria,Vienna,"Spectator Sports, SaaS, Videoanalyse, Performance Analysis",2021.0,zone14,https://www.eu-startups.com/wp-content/uploads/2023/06/zone14-150x150.jpg,,"zone14 provides data and statistics like in the champions league for all football games through AI video analysis. SaaS data and statistics, solution for all of football using AI video analysis. We - a team of football and sports enthusiasts - support clubs and associations to improve their training and achieve their goals.",No funding announced yet,https://zone14.ai,Active,"('https://www.linkedin.com/company/zone14/about/',)"
Xperience,https://www.eu-startups.com/directory/xperience/,Austria,Vienna,"App, Social Media, Privacy, Development",2021.0,Xperience,https://www.eu-startups.com/wp-content/uploads/2023/06/Xperience-150x174.jpg,,"Xperience is a platform to discover new friends and activities. People can create new activities or join existing ones on the Xperience app. In this way, users can explore new activities, experience their favourite ones and make new friends at all times. Xperience offers businesses and entrepreneurs the opportunity to list their events, courses or leisure activities in the app by partnering with Xperience to achieve greater customer attraction.",No funding announced yet,https://xperience.social/,Active,()
Windpuls,https://www.eu-startups.com/directory/windpuls/,Austria,Linz,"Sensor, Wind Energy, Wind Measurement, Mobile Device",2021.0,Windpuls,https://www.eu-startups.com/wp-content/uploads/2023/06/Windpuls-150x150.jpg,,"Windpuls specializes in the fields of wind measurement sensors including IT solutions. Thanks to professional wind measurement in unprecedented quality, Windpuls transforms wind from a disruptive factor into a predictable influencing variable for athletes, developers and the energy industry. Our vision is wind measurement for everybody.",No funding announced yet,http://www.windpuls.com/,Active,"('https://www.linkedin.com/company/windpuls/about/',)"
Vloor,https://www.eu-startups.com/directory/vloor/,Austria,Vienna,"Real Estate, PropTech, Digitization, Floor Plans, Automation",2021.0,Vloor,https://www.eu-startups.com/wp-content/uploads/2023/06/Vloor-150x150.jpg,,Vloor is a real estate software development company. They develop software based on deep learning models for the automated processing of real estate data. Their services include photorealistic HD renderings and interactive 3d room designers.,No funding announced yet,https://www.vloor.com,Active,"('https://www.linkedin.com/company/vloor/about/',)"
VIRIDAD,https://www.eu-startups.com/directory/viridad/,Austria,Vienna,"Digital Platform, Software, SaaS, Eligibility Assessments",2021.0,VIRIDAD,https://www.eu-startups.com/wp-content/uploads/2023/06/VIRIDAD-150x150.jpg,,"VIRIDAD develops and provides digital solutions that support transparency in the market and help reorient capital flows towards sustainable activities. They offer assessment of eligibility, alignment, eu taxonomy, SFDR report, technical, and regulatory expert services. VIRIDAD is a digitally customizable platform for assessment and scoring in the taxonomy.",No funding announced yet,https://www.viridad.eu/,Active,"('https://www.linkedin.com/company/viridad/about/',)"
Vinitor,https://www.eu-startups.com/directory/vinitor/,Austria,Linz,"Digital viticulture management, IT, Mobile Apps, Software",2021.0,Vinitor,https://www.eu-startups.com/wp-content/uploads/2023/06/Vinitor-150x150.jpg,,Vinitor is a tool for digital wine management in vineyards. Vinitor is the tool for digital viticulture management in the vineyard. Our goal is to save winegrowers time and money by digitizing work organization in the vineyard.,No funding announced yet,http://www.vinitor.app/,Active,"('https://www.linkedin.com/company/vinitorapp/about/',)"
trive studio,https://www.eu-startups.com/directory/trive-studio/,Austria,Vienna,"Venture Capital, Private Equity Principals, Marketing",2021.0,trive studio,https://www.eu-startups.com/wp-content/uploads/2023/06/trive-studio-150x150.jpg,,"trive is a startup studio that creates solutions that are human-centred and have an impact on how people live, move, and work. Developing ideas themselves and supporting portfolio companies as a co-founding team to make their ideas market- and seed-funding-ready. trive is a startup studio building human-centered solutions.",Between €5 million-€10 million,https://trive.studio,Active,"('https://www.linkedin.com/company/trive-studio/',)"
Testiny,https://www.eu-startups.com/directory/testiny/,Austria,Graz,"Software Development, IT, Information",2021.0,Testiny,https://www.eu-startups.com/wp-content/uploads/2023/06/Testiny-150x150.jpg,,"Modern, easy-to-use test management software. 	A modern approach to test management. Our test management tool is the result of extensive expertise in the testing industry.",No funding announced yet,https://www.testiny.io/,Active,"('https://www.linkedin.com/company/testiny/about/',)"
MedCom,https://www.eu-startups.com/directory/medcom/,Austria,Vienna,"Software, Apps, Paperless Lab",2021.0,MedCom,https://www.eu-startups.com/wp-content/uploads/2021/06/ffk2hwlznqptvriq5ueh-150x150.jpg,,"Medcom is your one-stop-shop for laboratory instructions, apps, and paperless lab requests that are produced in a reliable and safe manner. Medcom is your specialist for laboratory orders. With the WEBRrequest software, paperless laboratory requests are created reliably and securely. Nothing stands in the way of efficient and resource-saving communication between doctors and laboratories.",No funding announced yet,https://medcom.at/,,()
Sneakit,https://www.eu-startups.com/directory/sneakit/,Austria,Vienna,"Retail Apparel, Fashion, E-commerce, Shopping",2021.0,Sneakit,https://www.eu-startups.com/wp-content/uploads/2023/06/Sneakit-150x150.jpg,,"Europe's first choice for limited, authentic sneakers. Shop over 3.000 different styles. Europe‘s first choice for limited, authentic sneakers",No funding announced yet,http://sneakit.com,Active,"('https://www.linkedin.com/company/sneakitmarketplace/about/',)"
Sendance,https://www.eu-startups.com/wpbdp_listing/sendance/,Austria,Linz,"Sensor, Electronics, Manufacturing, Healthcare, Sports, Smart Wearables",2021.0,Sendance,https://www.eu-startups.com/wp-content/uploads/2023/12/sendance_gmbh_logo-150x150.jpeg,,"sendance is a deep tech B2B startup from Austria that offers a patented soft sensor technology enabling manufacturers of sports and healthcare devices to turn their products into smart wearables. The sensor technology is thin, stretchable and multi-functional and can be therefore integrated in any device. Besides the hardware, sendance offers a digital workflow enabling their customers a 6x faster market entry with new smart wearables. sendance is a spin-off from the LIT Soft Materials Lab at Johannes Kepler University Linz.",Between €1 million-€ 2.5 million,http://www.sendance.at/,Active,"('https://www.linkedin.com/company/sendance-gmbh/about/',)"
Schrankerl,https://www.eu-startups.com/directory/schrankerl/,Austria,Vienna,"Foodtech, office catering, employer branding, SMEs",2021.0,Schrankerl,https://www.eu-startups.com/wp-content/uploads/2023/06/Schrankerl-150x150.jpg,,"Schrankerl is a catering service that provides food delivery services to clients. Schrankerl was founded in 2021 and was headquartered in Wien, Austria. Austria's most innovative & simplest catering in the office.",Between €1 million-€ 2.5 million,https://www.schrankerl.at/,Active,"('https://www.linkedin.com/company/schrankerl/',)"
Roi4Presenter,https://www.eu-startups.com/directory/roi4presenter/,Austria,Vienna,"IT Services, IT Consulting, Lead Generation, SaaS",2021.0,Roi4Presenter,https://www.eu-startups.com/wp-content/uploads/2023/06/Roi4Presenter-150x150.jpg,,"Roi4Presenter is a web service for outreach and lead generation that streamlines sales presentations and webinars. It allows clients to be caught for online demos and saves up to 40% of SDR and Sales teams time, so they can focus on closing deals. To make a presentation, all you need to do is give your audience a link to a recorded presentation that is available at any time.",No funding announced yet,https://www.roi4presenter.com/,Active,"('https://www.linkedin.com/company/roi4presenter-company',)"
Openlaws,https://www.eu-startups.com/directory/openlaws/,Austria,Salzburg,"Compliance, Legal Tech, Productivity Tools",2021.0,Openlaws,https://www.eu-startups.com/wp-content/uploads/2023/06/Openlaws-150x150.jpg,,"Openlaws helps businesses and lawyers find legal information more easily, organize it, and share it with others. Its platform automatically collects data from different sources and provides users with tools to increase productivity. Its system helps SMEs in complying with legal requirements and supports large enterprises and corporations in meeting compliance requirements. It currently integrates legal databases across the world.",Between €1-€100K,https://openlaws.com,Active,()
notarity,https://www.eu-startups.com/directory/notarity/,Austria,Vienna,"Legal Tech, SaaS, Online Notarisations",2021.0,notarity,https://www.eu-startups.com/wp-content/uploads/2023/06/notarity-150x150.jpg,,notarity is the most user-friendly platform for fully digital cooperation with notaries. notarity is a webapp on which you can collaborate with notaries public 100% digital. Notaries are experienced and trained in dealing with notarity and online services.,No funding announced yet,https://notarity.com,Active,"('https://www.linkedin.com/company/notarity/',)"
Netz Beweis,https://www.eu-startups.com/directory/netz-beweis/,Austria,Klosterneuburg,"Legal Services, Security Software",2021.0,Netz Beweis,https://www.eu-startups.com/wp-content/uploads/2023/06/Netz-Beweis-150x150.jpg,,"NetzBeweis helps persons affected by cyberbullying, cyberstalking, and cyberfraud obtain free access to digital evidence. Their service allows users to capture screenshots of websites that are open to the public and then generates a PDF with a time stamp and a digital signature that can be provided directly to law enforcement as digital proof. They can automatically protect even private websites with their browser extension, including different social networking platforms and private chat rooms.",Between €1-€100K,https://www.netzbeweis.com/,Active,"('https://www.linkedin.com/company/netzbeweis/',)"
